192	131	109	0.44006692	0.30026128	0.24983957
仅仅	0	1	0	0.00000160	0.00019113	0.00002296
LouisBurns	0	0	1	0.00000160	0.00000189	0.00231928
真实	0	2	0	0.00000160	0.00038036	0.00002296
大力	5	0	0	0.00079949	0.00000189	0.00002296
这部	1	1	0	0.00016118	0.00019113	0.00002296
台式	1	1	0	0.00016118	0.00019113	0.00002296
坚决	2	0	0	0.00032075	0.00000189	0.00002296
尽可能	1	0	0	0.00016118	0.00000189	0.00002296
攀升	0	1	0	0.00000160	0.00019113	0.00002296
全年	0	0	1	0.00000160	0.00000189	0.00231928
高性能	2	0	0	0.00032075	0.00000189	0.00002296
付出	0	1	0	0.00000160	0.00019113	0.00002296
影碟机	2	0	0	0.00032075	0.00000189	0.00002296
新	24	10	0	0.00383150	0.00189423	0.00002296
篇	0	1	0	0.00000160	0.00019113	0.00002296
带有	1	0	0	0.00016118	0.00000189	0.00002296
国家经贸委	1	0	0	0.00016118	0.00000189	0.00002296
直接	3	3	0	0.00048033	0.00056959	0.00002296
BP	0	0	1	0.00000160	0.00000189	0.00231928
地区	0	2	0	0.00000160	0.00038036	0.00002296
10%	0	0	1	0.00000160	0.00000189	0.00231928
华菱	1	0	0	0.00016118	0.00000189	0.00002296
管线	1	0	0	0.00016118	0.00000189	0.00002296
效果	2	3	0	0.00032075	0.00056959	0.00002296
：	13	25	0	0.00207613	0.00473273	0.00002296
；	2	8	0	0.00032075	0.00151576	0.00002296
＝	0	0	1	0.00000160	0.00000189	0.00231928
？	5	14	0	0.00079949	0.00265116	0.00002296
大程度	1	0	0	0.00016118	0.00000189	0.00002296
３	1	0	0	0.00016118	0.00000189	0.00002296
（	6	17	0	0.00095907	0.00321886	0.00002296
）	6	15	0	0.00095907	0.00284039	0.00002296
中宣部	1	0	0	0.00016118	0.00000189	0.00002296
，	420	339	0	0.06702487	0.06415201	0.00002296
可笑	0	1	0	0.00000160	0.00019113	0.00002296
主	1	0	0	0.00016118	0.00000189	0.00002296
HarrisInteractive	1	0	0	0.00016118	0.00000189	0.00002296
算	3	0	0	0.00048033	0.00000189	0.00002296
东方	2	1	0	0.00032075	0.00019113	0.00002296
价位	1	0	0	0.00016118	0.00000189	0.00002296
何物	2	0	0	0.00032075	0.00000189	0.00002296
简	0	0	1	0.00000160	0.00000189	0.00231928
成为	12	9	0	0.00191655	0.00170499	0.00002296
国内	4	1	0	0.00063991	0.00019113	0.00002296
额外	1	0	0	0.00016118	0.00000189	0.00002296
亲自	0	0	1	0.00000160	0.00000189	0.00231928
凸现	1	0	0	0.00016118	0.00000189	0.00002296
事物	1	0	0	0.00016118	0.00000189	0.00002296
工程	2	0	0	0.00032075	0.00000189	0.00002296
登录	0	2	0	0.00000160	0.00038036	0.00002296
比例	0	1	0	0.00000160	0.00019113	0.00002296
16	1	0	0	0.00016118	0.00000189	0.00002296
陈然峰	0	1	1	0.00000160	0.00019113	0.00231928
捆绑	1	2	1	0.00016118	0.00038036	0.00231928
子	0	0	1	0.00000160	0.00000189	0.00231928
放心房	1	0	0	0.00016118	0.00000189	0.00002296
人物	1	1	0	0.00016118	0.00019113	0.00002296
字	0	0	1	0.00000160	0.00000189	0.00231928
好看	1	1	0	0.00016118	0.00019113	0.00002296
定律	1	0	0	0.00016118	0.00000189	0.00002296
丰富	4	0	0	0.00063991	0.00000189	0.00002296
管	0	1	0	0.00000160	0.00019113	0.00002296
毗邻	1	0	0	0.00016118	0.00000189	0.00002296
临时	0	1	0	0.00000160	0.00019113	0.00002296
配置	0	1	0	0.00000160	0.00019113	0.00002296
伸手	0	1	0	0.00000160	0.00019113	0.00002296
欢乐	1	1	0	0.00016118	0.00019113	0.00002296
稳定	1	1	0	0.00016118	0.00019113	0.00002296
充分	3	0	0	0.00048033	0.00000189	0.00002296
完善	1	0	0	0.00016118	0.00000189	0.00002296
合资	1	0	0	0.00016118	0.00000189	0.00002296
受理	1	0	0	0.00016118	0.00000189	0.00002296
希望	3	1	0	0.00048033	0.00019113	0.00002296
作出	0	0	1	0.00000160	0.00000189	0.00231928
申请	0	1	0	0.00000160	0.00019113	0.00002296
结成	1	2	0	0.00016118	0.00038036	0.00002296
IMEKernel32	0	1	0	0.00000160	0.00019113	0.00002296
难题	0	1	0	0.00000160	0.00019113	0.00002296
建议	1	1	1	0.00016118	0.00019113	0.00231928
Post——	0	0	1	0.00000160	0.00000189	0.00231928
基础	3	1	0	0.00048033	0.00019113	0.00002296
鳄	0	0	1	0.00000160	0.00000189	0.00231928
———	0	0	1	0.00000160	0.00000189	0.00231928
组成	1	1	0	0.00016118	0.00019113	0.00002296
RAM	0	0	1	0.00000160	0.00000189	0.00231928
构想	1	0	0	0.00016118	0.00000189	0.00002296
免费电话	1	0	0	0.00016118	0.00000189	0.00002296
机现象	1	0	0	0.00016118	0.00000189	0.00002296
区域	1	0	0	0.00016118	0.00000189	0.00002296
死亡	0	2	0	0.00000160	0.00038036	0.00002296
演	0	1	0	0.00000160	0.00019113	0.00002296
经济	5	1	0	0.00079949	0.00019113	0.00002296
损失	0	1	0	0.00000160	0.00019113	0.00002296
码	1	0	0	0.00016118	0.00000189	0.00002296
沈阳市	1	0	0	0.00016118	0.00000189	0.00002296
空间	0	2	0	0.00000160	0.00038036	0.00002296
笼罩	0	1	0	0.00000160	0.00019113	0.00002296
一般	2	2	0	0.00032075	0.00038036	0.00002296
指挥	1	0	0	0.00016118	0.00000189	0.00002296
经验	3	1	0	0.00048033	0.00019113	0.00002296
彩电	4	5	0	0.00063991	0.00094806	0.00002296
破	0	0	1	0.00000160	0.00000189	0.00231928
地块	1	0	0	0.00016118	0.00000189	0.00002296
目录	0	3	0	0.00000160	0.00056959	0.00002296
富	1	0	0	0.00016118	0.00000189	0.00002296
转嫁	0	1	0	0.00000160	0.00019113	0.00002296
不愧	1	0	0	0.00016118	0.00000189	0.00002296
exe	0	1	0	0.00000160	0.00019113	0.00002296
驱动	1	0	0	0.00016118	0.00000189	0.00002296
对	20	24	0	0.00319318	0.00454349	0.00002296
18	0	1	0	0.00000160	0.00019113	0.00002296
遵循	1	0	0	0.00016118	0.00000189	0.00002296
圈子	0	1	0	0.00000160	0.00019113	0.00002296
辨认	1	0	0	0.00016118	0.00000189	0.00002296
磁	0	1	0	0.00000160	0.00019113	0.00002296
想法	0	1	0	0.00000160	0.00019113	0.00002296
俗物	0	1	0	0.00000160	0.00019113	0.00002296
小说	2	1	0	0.00032075	0.00019113	0.00002296
何时	0	1	1	0.00000160	0.00019113	0.00231928
总计	1	0	0	0.00016118	0.00000189	0.00002296
保存	0	1	0	0.00000160	0.00019113	0.00002296
官	0	1	0	0.00000160	0.00019113	0.00002296
定	2	3	1	0.00032075	0.00056959	0.00231928
在内	1	0	0	0.00016118	0.00000189	0.00002296
实	0	1	0	0.00000160	0.00019113	0.00002296
输出	1	0	0	0.00016118	0.00000189	0.00002296
传染	0	2	0	0.00000160	0.00038036	0.00002296
宗	1	0	0	0.00016118	0.00000189	0.00002296
免费	2	1	0	0.00032075	0.00019113	0.00002296
他们	3	3	0	0.00048033	0.00056959	0.00002296
增添	1	0	0	0.00016118	0.00000189	0.00002296
宁	1	0	0	0.00016118	0.00000189	0.00002296
它	11	13	0	0.00175697	0.00246193	0.00002296
30.28%	1	0	0	0.00016118	0.00000189	0.00002296
变成	1	1	0	0.00016118	0.00019113	0.00002296
影	0	1	0	0.00000160	0.00019113	0.00002296
新浪	2	2	0	0.00032075	0.00038036	0.00002296
应接不暇	0	1	0	0.00000160	0.00019113	0.00002296
很快	1	0	0	0.00016118	0.00000189	0.00002296
之	5	10	0	0.00079949	0.00189423	0.00002296
户型	2	0	0	0.00032075	0.00000189	0.00002296
好像	1	0	0	0.00016118	0.00000189	0.00002296
DLL	0	1	0	0.00000160	0.00019113	0.00002296
客	9	2	0	0.00143781	0.00038036	0.00002296
LG	1	0	0	0.00016118	0.00000189	0.00002296
负责人	1	1	1	0.00016118	0.00019113	0.00231928
安泰	1	0	0	0.00016118	0.00000189	0.00002296
塔	0	1	0	0.00000160	0.00019113	0.00002296
证实	0	0	1	0.00000160	0.00000189	0.00231928
何况	1	0	0	0.00016118	0.00000189	0.00002296
加上	1	0	0	0.00016118	0.00000189	0.00002296
格式	5	5	0	0.00079949	0.00094806	0.00002296
智慧	2	0	0	0.00032075	0.00000189	0.00002296
飞速	1	0	0	0.00016118	0.00000189	0.00002296
状态	1	0	0	0.00016118	0.00000189	0.00002296
省政府	1	0	0	0.00016118	0.00000189	0.00002296
VP5	1	1	0	0.00016118	0.00019113	0.00002296
话题	0	1	0	0.00000160	0.00019113	0.00002296
交易	1	0	0	0.00016118	0.00000189	0.00002296
人们	2	4	1	0.00032075	0.00075883	0.00231928
2.53G	1	0	0	0.00016118	0.00000189	0.00002296
超级链接	1	0	0	0.00016118	0.00000189	0.00002296
山东	1	0	0	0.00016118	0.00000189	0.00002296
朝阳	1	0	0	0.00016118	0.00000189	0.00002296
澳门	1	0	0	0.00016118	0.00000189	0.00002296
筹码	1	1	1	0.00016118	0.00019113	0.00231928
佳节	1	0	0	0.00016118	0.00000189	0.00002296
品牌	1	0	0	0.00016118	0.00000189	0.00002296
中英文	1	0	0	0.00016118	0.00000189	0.00002296
力争	1	0	0	0.00016118	0.00000189	0.00002296
叫做	0	1	1	0.00000160	0.00019113	0.00231928
达到	1	3	0	0.00016118	0.00056959	0.00002296
处理器	17	3	0	0.00271444	0.00056959	0.00002296
感觉	0	1	0	0.00000160	0.00019113	0.00002296
速度	4	2	1	0.00063991	0.00038036	0.00231928
成本	2	5	0	0.00032075	0.00094806	0.00002296
Web	1	3	1	0.00016118	0.00056959	0.00231928
电脑游戏	2	0	0	0.00032075	0.00000189	0.00002296
开发商	1	2	0	0.00016118	0.00038036	0.00002296
家居	1	0	0	0.00016118	0.00000189	0.00002296
第9	1	0	0	0.00016118	0.00000189	0.00002296
尽快	1	0	0	0.00016118	0.00000189	0.00002296
钢	2	0	0	0.00032075	0.00000189	0.00002296
影音	0	0	1	0.00000160	0.00000189	0.00231928
与时俱进	1	0	0	0.00016118	0.00000189	0.00002296
不满	0	1	0	0.00000160	0.00019113	0.00002296
25.67%	1	0	0	0.00016118	0.00000189	0.00002296
操作	1	0	0	0.00016118	0.00000189	0.00002296
电脑运行	0	1	0	0.00000160	0.00019113	0.00002296
高端	3	1	0	0.00048033	0.00019113	0.00002296
长处	0	1	0	0.00000160	0.00019113	0.00002296
17.11%	1	0	0	0.00016118	0.00000189	0.00002296
开放	1	0	0	0.00016118	0.00000189	0.00002296
情绪	1	0	0	0.00016118	0.00000189	0.00002296
百万	0	1	0	0.00000160	0.00019113	0.00002296
机器内部	2	0	0	0.00032075	0.00000189	0.00002296
收取	0	3	0	0.00000160	0.00056959	0.00002296
诗歌	1	0	0	0.00016118	0.00000189	0.00002296
秉	0	0	1	0.00000160	0.00000189	0.00231928
高举	1	0	0	0.00016118	0.00000189	0.00002296
种	15	12	0	0.00239528	0.00227269	0.00002296
秀	2	0	0	0.00032075	0.00000189	0.00002296
明年	1	1	0	0.00016118	0.00019113	0.00002296
造成	0	1	0	0.00000160	0.00019113	0.00002296
心境	1	0	0	0.00016118	0.00000189	0.00002296
超线程	13	5	0	0.00207613	0.00094806	0.00002296
展示	1	0	0	0.00016118	0.00000189	0.00002296
霆	0	1	0	0.00000160	0.00019113	0.00002296
Post	0	1	1	0.00000160	0.00019113	0.00231928
577	1	0	0	0.00016118	0.00000189	0.00002296
心声	2	0	0	0.00032075	0.00000189	0.00002296
忘记	1	0	0	0.00016118	0.00000189	0.00002296
来源	0	1	1	0.00000160	0.00019113	0.00231928
形成	5	0	0	0.00079949	0.00000189	0.00002296
普通	3	1	0	0.00048033	0.00019113	0.00002296
积	0	1	0	0.00000160	0.00019113	0.00002296
进	1	0	0	0.00016118	0.00000189	0.00002296
哪个	2	0	0	0.00032075	0.00000189	0.00002296
把握	1	0	0	0.00016118	0.00000189	0.00002296
居高不下	0	1	0	0.00000160	0.00019113	0.00002296
推广	3	3	0	0.00048033	0.00056959	0.00002296
江淮	2	0	0	0.00032075	0.00000189	0.00002296
人群	0	1	0	0.00000160	0.00019113	0.00002296
初步	1	0	0	0.00016118	0.00000189	0.00002296
跨国	0	1	0	0.00000160	0.00019113	0.00002296
解决	2	2	0	0.00032075	0.00038036	0.00002296
电影	5	6	0	0.00079949	0.00113729	0.00002296
阶段	2	0	0	0.00032075	0.00000189	0.00002296
禹	1	0	0	0.00016118	0.00000189	0.00002296
离	1	0	0	0.00016118	0.00000189	0.00002296
2％	0	2	0	0.00000160	0.00038036	0.00002296
WAP	2	0	0	0.00032075	0.00000189	0.00002296
讴歌	1	0	0	0.00016118	0.00000189	0.00002296
衡量	0	0	1	0.00000160	0.00000189	0.00231928
每天	1	0	0	0.00016118	0.00000189	0.00002296
透露	0	4	1	0.00000160	0.00075883	0.00231928
真正	5	2	0	0.00079949	0.00038036	0.00002296
套	2	0	0	0.00032075	0.00000189	0.00002296
屏幕	6	0	0	0.00095907	0.00000189	0.00002296
GPRS	1	0	0	0.00016118	0.00000189	0.00002296
１０	1	0	0	0.00016118	0.00000189	0.00002296
表现	2	2	0	0.00032075	0.00038036	0.00002296
历程	1	0	0	0.00016118	0.00000189	0.00002296
激烈	0	1	0	0.00000160	0.00019113	0.00002296
辽宁	1	0	0	0.00016118	0.00000189	0.00002296
好	6	3	1	0.00095907	0.00056959	0.00231928
视听	1	0	0	0.00016118	0.00000189	0.00002296
确定性	0	1	0	0.00000160	0.00019113	0.00002296
雇主	0	4	0	0.00000160	0.00075883	0.00002296
记录	2	0	0	0.00032075	0.00000189	0.00002296
奥	0	1	0	0.00000160	0.00019113	0.00002296
多	15	7	0	0.00239528	0.00132653	0.00002296
改变	1	2	0	0.00016118	0.00038036	0.00002296
夜	0	1	0	0.00000160	0.00019113	0.00002296
输入	3	1	0	0.00048033	0.00019113	0.00002296
著名	2	1	0	0.00032075	0.00019113	0.00002296
神怀	0	0	1	0.00000160	0.00000189	0.00231928
热效率	0	1	0	0.00000160	0.00019113	0.00002296
提案	1	0	0	0.00016118	0.00000189	0.00002296
安全性	1	0	0	0.00016118	0.00000189	0.00002296
处	1	1	1	0.00016118	0.00019113	0.00231928
播放机	2	2	0	0.00032075	0.00038036	0.00002296
欲罢不能	1	0	0	0.00016118	0.00000189	0.00002296
对此	1	0	0	0.00016118	0.00000189	0.00002296
20G	0	1	0	0.00000160	0.00019113	0.00002296
大会	1	0	0	0.00016118	0.00000189	0.00002296
就是	3	0	0	0.00048033	0.00000189	0.00002296
许多	2	3	0	0.00032075	0.00056959	0.00002296
cn	1	0	0	0.00016118	0.00000189	0.00002296
天	1	1	1	0.00016118	0.00019113	0.00231928
太	0	7	0	0.00000160	0.00132653	0.00002296
左右	1	1	1	0.00016118	0.00019113	0.00231928
文字	2	0	0	0.00032075	0.00000189	0.00002296
精彩	1	0	0	0.00016118	0.00000189	0.00002296
健康性	1	0	0	0.00016118	0.00000189	0.00002296
地址	0	1	0	0.00000160	0.00019113	0.00002296
释放	0	5	0	0.00000160	0.00094806	0.00002296
高高	0	0	1	0.00000160	0.00000189	0.00231928
增值	3	0	1	0.00048033	0.00000189	0.00231928
250	0	0	1	0.00000160	0.00000189	0.00231928
91	0	1	0	0.00000160	0.00019113	0.00002296
事业	0	0	1	0.00000160	0.00000189	0.00231928
检验	3	0	0	0.00048033	0.00000189	0.00002296
11	1	0	0	0.00016118	0.00000189	0.00002296
三足鼎立	1	0	0	0.00016118	0.00000189	0.00002296
姆	0	1	0	0.00000160	0.00019113	0.00002296
密码	0	2	0	0.00000160	0.00038036	0.00002296
产权	4	13	0	0.00063991	0.00246193	0.00002296
专利费	0	1	0	0.00000160	0.00019113	0.00002296
绕	0	1	0	0.00000160	0.00019113	0.00002296
告诉	1	1	0	0.00016118	0.00019113	0.00002296
邦德	0	3	0	0.00000160	0.00056959	0.00002296
层出不穷	1	0	0	0.00016118	0.00000189	0.00002296
颠扑不破	1	0	0	0.00016118	0.00000189	0.00002296
商品	1	0	0	0.00016118	0.00000189	0.00002296
收入	6	3	0	0.00095907	0.00056959	0.00002296
充分反映	1	0	0	0.00016118	0.00000189	0.00002296
公告	1	0	0	0.00016118	0.00000189	0.00002296
杀毒	0	1	0	0.00000160	0.00019113	0.00002296
挥	3	1	0	0.00048033	0.00019113	0.00002296
windows	0	1	0	0.00000160	0.00019113	0.00002296
1998年	1	0	0	0.00016118	0.00000189	0.00002296
研讨会	1	0	0	0.00016118	0.00000189	0.00002296
部长	1	1	0	0.00016118	0.00019113	0.00002296
67％	0	0	1	0.00000160	0.00000189	0.00231928
话费	1	0	0	0.00016118	0.00000189	0.00002296
灵魂	0	0	1	0.00000160	0.00000189	0.00231928
如	3	2	0	0.00048033	0.00038036	0.00002296
继	1	2	0	0.00016118	0.00038036	0.00002296
掌握	1	0	0	0.00016118	0.00000189	0.00002296
水平	1	0	0	0.00016118	0.00000189	0.00002296
对于	10	2	0	0.00159739	0.00038036	0.00002296
英国	0	2	1	0.00000160	0.00038036	0.00231928
普及	3	1	0	0.00048033	0.00019113	0.00002296
世纪	2	0	0	0.00032075	0.00000189	0.00002296
音频	2	1	0	0.00032075	0.00019113	0.00002296
场景	1	1	0	0.00016118	0.00019113	0.00002296
步步高	1	0	0	0.00016118	0.00000189	0.00002296
予以	1	0	0	0.00016118	0.00000189	0.00002296
线	7	4	0	0.00111865	0.00075883	0.00002296
工薪阶层	0	1	0	0.00000160	0.00019113	0.00002296
星星	1	0	0	0.00016118	0.00000189	0.00002296
气氛	1	0	0	0.00016118	0.00000189	0.00002296
风格	2	0	0	0.00032075	0.00000189	0.00002296
完整	1	0	0	0.00016118	0.00000189	0.00002296
随处可见	0	0	1	0.00000160	0.00000189	0.00231928
预言	0	1	0	0.00000160	0.00019113	0.00002296
联姻	1	0	0	0.00016118	0.00000189	0.00002296
问题	2	13	0	0.00032075	0.00246193	0.00002296
窃取	0	2	0	0.00000160	0.00038036	0.00002296
群众	3	0	0	0.00048033	0.00000189	0.00002296
抑制	1	0	0	0.00016118	0.00000189	0.00002296
级	1	0	0	0.00016118	0.00000189	0.00002296
财富	1	0	0	0.00016118	0.00000189	0.00002296
帮助	2	0	0	0.00032075	0.00000189	0.00002296
创新	2	0	0	0.00032075	0.00000189	0.00002296
核心芯片	1	0	0	0.00016118	0.00000189	0.00002296
理事	1	0	0	0.00016118	0.00000189	0.00002296
划时代	2	0	0	0.00032075	0.00000189	0.00002296
并	11	11	0	0.00175697	0.00208346	0.00002296
阻力	0	1	0	0.00000160	0.00019113	0.00002296
限度	0	0	1	0.00000160	0.00000189	0.00231928
中央	3	0	0	0.00048033	0.00000189	0.00002296
一切	0	2	0	0.00000160	0.00038036	0.00002296
投诉	0	1	0	0.00000160	0.00019113	0.00002296
流行	2	1	0	0.00032075	0.00019113	0.00002296
高清	1	2	0	0.00016118	0.00038036	0.00002296
个人	5	4	0	0.00079949	0.00075883	0.00002296
诱惑	0	1	0	0.00000160	0.00019113	0.00002296
擅长	0	1	0	0.00000160	0.00019113	0.00002296
建立	1	0	0	0.00016118	0.00000189	0.00002296
帖	0	0	1	0.00000160	0.00000189	0.00231928
好莱坞	3	2	0	0.00048033	0.00038036	0.00002296
置	2	0	1	0.00032075	0.00000189	0.00231928
机平台	0	0	1	0.00000160	0.00000189	0.00231928
为止	2	0	0	0.00032075	0.00000189	0.00002296
市	1	1	0	0.00016118	0.00019113	0.00002296
取得	1	2	0	0.00016118	0.00038036	0.00002296
推理	1	0	0	0.00016118	0.00000189	0.00002296
常	1	0	0	0.00016118	0.00000189	0.00002296
快乐	0	0	1	0.00000160	0.00000189	0.00231928
缝	2	1	0	0.00032075	0.00019113	0.00002296
刊登	1	0	0	0.00016118	0.00000189	0.00002296
正确	2	0	0	0.00032075	0.00000189	0.00002296
既然	0	1	0	0.00000160	0.00019113	0.00002296
调查	1	6	0	0.00016118	0.00113729	0.00002296
坎坷	0	1	0	0.00000160	0.00019113	0.00002296
东莞	0	0	1	0.00000160	0.00000189	0.00231928
那些	0	1	0	0.00000160	0.00019113	0.00002296
带	2	1	0	0.00032075	0.00019113	0.00002296
明文规定	1	0	0	0.00016118	0.00000189	0.00002296
临	1	0	0	0.00016118	0.00000189	0.00002296
竞争	3	2	0	0.00048033	0.00038036	0.00002296
机会	0	2	0	0.00000160	0.00038036	0.00002296
千龙新闻网	0	0	1	0.00000160	0.00000189	0.00231928
转变	2	0	0	0.00032075	0.00000189	0.00002296
卖	2	0	0	0.00032075	0.00000189	0.00002296
中国一号	0	5	0	0.00000160	0.00094806	0.00002296
大批量生产	0	1	0	0.00000160	0.00019113	0.00002296
下降	0	1	0	0.00000160	0.00019113	0.00002296
Ｗｉｎｄｏｗｓ	3	6	0	0.00048033	0.00113729	0.00002296
闯进	1	0	0	0.00016118	0.00000189	0.00002296
建	1	0	0	0.00016118	0.00000189	0.00002296
我们	6	3	0	0.00095907	0.00056959	0.00002296
详细	0	0	1	0.00000160	0.00000189	0.00231928
指出	0	4	0	0.00000160	0.00075883	0.00002296
未经	1	0	0	0.00016118	0.00000189	0.00002296
交叉	1	0	0	0.00016118	0.00000189	0.00002296
激光视盘	1	0	0	0.00016118	0.00000189	0.00002296
宣布	2	0	0	0.00032075	0.00000189	0.00002296
道	2	3	0	0.00032075	0.00056959	0.00002296
新鲜	1	0	0	0.00016118	0.00000189	0.00002296
检测	0	4	0	0.00000160	0.00075883	0.00002296
举例	0	0	1	0.00000160	0.00000189	0.00231928
翻	0	1	0	0.00000160	0.00019113	0.00002296
120分钟	0	1	0	0.00000160	0.00019113	0.00002296
利润	1	1	0	0.00016118	0.00019113	0.00002296
应	4	4	0	0.00063991	0.00075883	0.00002296
送给	0	1	0	0.00000160	0.00019113	0.00002296
当中	0	0	1	0.00000160	0.00000189	0.00231928
店	0	1	0	0.00000160	0.00019113	0.00002296
布衣	1	0	0	0.00016118	0.00000189	0.00002296
如约	1	0	0	0.00016118	0.00000189	0.00002296
提出	1	3	0	0.00016118	0.00056959	0.00002296
根据	2	2	1	0.00032075	0.00038036	0.00231928
信贷	0	1	0	0.00000160	0.00019113	0.00002296
2003年	3	2	0	0.00048033	0.00038036	0.00002296
一起	0	2	0	0.00000160	0.00038036	0.00002296
业内人士	3	1	0	0.00048033	0.00019113	0.00002296
传达	1	0	0	0.00016118	0.00000189	0.00002296
通	1	0	0	0.00016118	0.00000189	0.00002296
孤独	0	1	0	0.00000160	0.00019113	0.00002296
美	1	2	0	0.00016118	0.00038036	0.00002296
举起	0	0	1	0.00000160	0.00000189	0.00231928
身影	0	1	0	0.00000160	0.00019113	0.00002296
思考	1	0	0	0.00016118	0.00000189	0.00002296
度	1	0	0	0.00016118	0.00000189	0.00002296
选	0	1	0	0.00000160	0.00019113	0.00002296
纽约	1	0	0	0.00016118	0.00000189	0.00002296
响应	1	0	0	0.00016118	0.00000189	0.00002296
能否	0	1	0	0.00000160	0.00019113	0.00002296
送	1	0	0	0.00016118	0.00000189	0.00002296
归	0	1	0	0.00000160	0.00019113	0.00002296
当	0	5	0	0.00000160	0.00094806	0.00002296
国际	6	4	0	0.00095907	0.00075883	0.00002296
共享	1	0	0	0.00016118	0.00000189	0.00002296
难度	0	1	0	0.00000160	0.00019113	0.00002296
加快	2	0	0	0.00032075	0.00000189	0.00002296
相比	3	0	0	0.00048033	0.00000189	0.00002296
通常	0	3	1	0.00000160	0.00056959	0.00231928
群	1	0	0	0.00016118	0.00000189	0.00002296
蓝色	1	2	0	0.00016118	0.00038036	0.00002296
检查	1	1	0	0.00016118	0.00019113	0.00002296
按时	1	0	0	0.00016118	0.00000189	0.00002296
邀请	0	1	0	0.00000160	0.00019113	0.00002296
彼	1	0	0	0.00016118	0.00000189	0.00002296
Bloggers	1	1	0	0.00016118	0.00019113	0.00002296
重点	0	0	1	0.00000160	0.00000189	0.00231928
引导	1	0	0	0.00016118	0.00000189	0.00002296
值得	1	0	0	0.00016118	0.00000189	0.00002296
HT	8	0	0	0.00127823	0.00000189	0.00002296
44.83%	1	0	0	0.00016118	0.00000189	0.00002296
摄氏度	0	1	1	0.00000160	0.00019113	0.00231928
十六	5	0	0	0.00079949	0.00000189	0.00002296
集中	2	0	0	0.00032075	0.00000189	0.00002296
推出	3	4	0	0.00048033	0.00075883	0.00002296
祥林嫂	0	1	0	0.00000160	0.00019113	0.00002296
计算机系统	3	0	0	0.00048033	0.00000189	0.00002296
先进	0	1	0	0.00000160	0.00019113	0.00002296
米	1	0	0	0.00016118	0.00000189	0.00002296
计算机用户	0	0	1	0.00000160	0.00000189	0.00231928
犹豫	0	1	0	0.00000160	0.00019113	0.00002296
MP3	1	0	0	0.00016118	0.00000189	0.00002296
浏览	3	3	0	0.00048033	0.00056959	0.00002296
都	15	20	1	0.00239528	0.00378656	0.00231928
大多数	1	0	0	0.00016118	0.00000189	0.00002296
13.455	1	0	0	0.00016118	0.00000189	0.00002296
式	2	0	0	0.00032075	0.00000189	0.00002296
开	5	0	0	0.00079949	0.00000189	0.00002296
异	0	2	0	0.00000160	0.00038036	0.00002296
操控	0	1	0	0.00000160	0.00019113	0.00002296
主页	0	1	0	0.00000160	0.00019113	0.00002296
强	5	2	0	0.00079949	0.00038036	0.00002296
执行	3	2	0	0.00048033	0.00038036	0.00002296
号称	0	2	0	0.00000160	0.00038036	0.00002296
技术参数	1	0	0	0.00016118	0.00000189	0.00002296
甚至	4	3	0	0.00063991	0.00056959	0.00002296
负担	0	2	0	0.00000160	0.00038036	0.00002296
顾及	1	0	0	0.00016118	0.00000189	0.00002296
张	1	2	0	0.00016118	0.00038036	0.00002296
局面	4	0	0	0.00063991	0.00000189	0.00002296
整机	1	0	0	0.00016118	0.00000189	0.00002296
必将	0	1	0	0.00000160	0.00019113	0.00002296
股价	3	0	1	0.00048033	0.00000189	0.00231928
有关	3	6	0	0.00048033	0.00113729	0.00002296
生产方式	6	0	0	0.00095907	0.00000189	0.00002296
排练	1	0	0	0.00016118	0.00000189	0.00002296
Blogwriter	0	0	1	0.00000160	0.00000189	0.00231928
朴素	1	0	0	0.00016118	0.00000189	0.00002296
材料	1	0	0	0.00016118	0.00000189	0.00002296
中介	1	0	0	0.00016118	0.00000189	0.00002296
叩开	0	0	1	0.00000160	0.00000189	0.00231928
一定	0	4	1	0.00000160	0.00075883	0.00231928
回去	0	1	0	0.00000160	0.00019113	0.00002296
不少	2	1	0	0.00032075	0.00019113	0.00002296
有所	0	2	0	0.00000160	0.00038036	0.00002296
赢利	1	0	0	0.00016118	0.00000189	0.00002296
那	2	4	0	0.00032075	0.00075883	0.00002296
规模生产	1	0	0	0.00016118	0.00000189	0.00002296
邦	0	1	0	0.00000160	0.00019113	0.00002296
境界	0	1	1	0.00000160	0.00019113	0.00231928
快	2	3	0	0.00032075	0.00056959	0.00002296
协议	0	1	0	0.00000160	0.00019113	0.00002296
体育	1	0	0	0.00016118	0.00000189	0.00002296
面临	0	3	0	0.00000160	0.00056959	0.00002296
每个	3	2	0	0.00048033	0.00038036	0.00002296
阵营	0	5	0	0.00000160	0.00094806	0.00002296
营销	1	0	0	0.00016118	0.00000189	0.00002296
新闻	13	8	0	0.00207613	0.00151576	0.00002296
命运	1	0	0	0.00016118	0.00000189	0.00002296
预计	0	1	0	0.00000160	0.00019113	0.00002296
无论	0	1	0	0.00000160	0.00019113	0.00002296
新闻网	1	0	0	0.00016118	0.00000189	0.00002296
得	2	4	0	0.00032075	0.00075883	0.00002296
很	11	10	0	0.00175697	0.00189423	0.00002296
电脑处理器	1	0	0	0.00016118	0.00000189	0.00002296
期刊	1	0	0	0.00016118	0.00000189	0.00002296
只不过	1	0	0	0.00016118	0.00000189	0.00002296
富贵	0	1	0	0.00000160	0.00019113	0.00002296
